list_items,response,n_correct,proportion_correct,phonological_confusions,experiment_type,experiment_name
KBVDLRQZGMHT,KBVLMRHQZ,9,0.75,0,Free Recall,Pause
VYZPHQTNRK,VYZPHQNRK,9,0.9,0,Free Recall,Pause
PNQGLHYMDVRK,PLHQNRKTM,8,0.667,1,Free Recall,Pause
LTNVGRZMYPH,LTMVGKHR,7,0.636,1,Free Recall,Pause
QPGNZHTLYM,KPQNZH,5,0.5,1,Free Recall,Pause
VLHGKZYQMDT,VLHZGQ,6,0.545,0,Free Recall,Pause
KQTBNHGDRM,KQTBNH,6,0.6,0,Free Recall,Pause
HKRGMDBPTVZN,HQRGNDBT,7,0.583,0,Free Recall,Pause
PTMDLRZKHVY,PTLDNRZHQR,7,0.636,1,Free Recall,Pause
HBKTVGNLQD,HBKTVHQD,7,0.7,0,Free Recall,Pause
HZPNGTMBQV,HPQNZUD,5,0.5,1,Free Recall,Pause
RZBNKGTDLYM,DLYMHZQD,5,0.455,0,Free Recall,Pause
QHBMGVZTKDYN,KZHMBQVD,8,0.667,0,Free Recall,Pause
TPKBQNRHDMZ,TBKPQZMD,8,0.727,0,Free Recall,Pause
MPHVTKQGBNDZ,MTHKQGB,7,0.583,0,Free Recall,Pause
MDZNYKHBTGQL,MDZHKGL,7,0.583,0,Free Recall,Pause
KYZBPMLQDTGR,PLGQRNZB,7,0.583,1,Free Recall,Pause
DQMRKLYGPZ,DQMRKLPN,7,0.7,1,Free Recall,Pause
RDYVGNQPTLMH,RDENGVQP,7,0.583,0,Free Recall,Pause
VLHQZNRYBDT,VLHKZNYBT,8,0.727,0,Free Recall,Pause
PMTKZRNVLYH,PMKHRNY,7,0.636,0,Free Recall,Pause
PLDGYQKZHBTV,PLDKHT,6,0.5,0,Free Recall,Pause
TYZRLPMBVD,TYRLV,5,0.5,0,Free Recall,Pause
LHKYTPQRMVD,LHKTPV,6,0.545,0,Free Recall,Pause
BNHPVTMGYZK,BNHVTZ,6,0.545,0,Free Recall,Pause
VQYKBNZPMHTR,VQYMHTR,7,0.583,0,Free Recall,Pause
NGPRVBQKYTH,NGPKTY,6,0.545,0,Free Recall,Pause
TGNYHVDQPK,TGNDP,5,0.5,0,Free Recall,Pause
HVLQDGPBNK,HVLDGN,6,0.6,0,Free Recall,Pause
VMDPTYQZNKG,VMDTYN,6,0.545,0,Free Recall,Pause
QYMTZDVNGHR,YMTDVMR,6,0.545,0,Free Recall,Pause
PZYRHDKBGMQL,PZYRPM,5,0.417,0,Free Recall,Pause
VHLYDTRKGNB,VHLKG,5,0.455,0,Free Recall,Pause
MLGZHRVNPQ,MLRGVN,6,0.6,0,Free Recall,Pause
KGZHRPQMDVL,KGPDM,5,0.455,0,Free Recall,Pause
ZYDGTLQPMBH,YDGLM,5,0.455,0,Free Recall,Pause
LYMKGDRTHZV,LYMGD,5,0.455,0,Free Recall,Pause
QRTVZNKLPG,QRTKL,5,0.5,0,Free Recall,Pause
LGPNDBVHQZ,LGPNV,5,0.5,0,Free Recall,Pause
VGLQDZHTRYB,VGLHYR,6,0.545,0,Free Recall,Pause
DQHRVZYPLBT,DQHRVZT,7,0.636,0,Free Recall,Pause
ZGHQNKLVYMRP,ZQVRNP,6,0.5,0,Free Recall,Pause
GBTDMPKQZRH,GBTMPZ,6,0.545,0,Free Recall,Pause
QYMLGZHNRDP,QNMLGNR,6,0.545,0,Free Recall,Pause
LYQKPZHDMVGB,NYQKZH,5,0.417,1,Free Recall,Pause
TKBGYNLMDHZ,TGBKZ,5,0.455,0,Free Recall,Pause
KYZMDVNQLTB,KYZDVB,6,0.545,0,Free Recall,Pause
RLPHBGVKDMZ,RLHVDBZ,7,0.636,0,Free Recall,Pause
KRMGPHVZQYB,KRMGPB,6,0.545,0,Free Recall,Pause
BPDMGHVRQK,BPDMVG,6,0.6,0,Free Recall,Pause
YLKMHZNDPVRQ,YLGHMRQ,6,0.5,1,Free Recall,Pause
RZGHMTLYVBP,RZGHTB,6,0.545,0,Free Recall,Pause
VRZMHNTKGYB,VRZMHNY,7,0.636,0,Free Recall,Pause
MDQZYLGRTN,MRQZLHD,6,0.6,0,Free Recall,Pause
TNDQLHKGVYM,TNDQLHK,7,0.636,0,Free Recall,Pause
HNLZMTKQVDR,HLMZNTR,7,0.636,0,Free Recall,Pause
GLMPBNTDQRVZ,GLMPBTQZ,8,0.667,0,Free Recall,Pause
BLGRMQKZTHV,GMBRLMQZ,7,0.636,0,Free Recall,Pause
LZNKRHPBYTM,LKNZRYT,7,0.636,0,Free Recall,Pause
GRVNBZMYPLKH,GLVRNZY,7,0.583,0,Free Recall,Pause
