list_items,response,n_correct,proportion_correct,phonological_confusions,experiment_type,experiment_name
PZQNTHDRBGY,PZQNTHRBL,8,0.727,0,Free Recall,Speed
YNLPRMKHDB,YPLMQBRN,7,0.7,0,Free Recall,Speed
VZGQTPYKRLMN,LMNTPQVZR,9,0.75,0,Free Recall,Speed
MKDLNPHYBGV,MPKLTQRN,5,0.455,1,Free Recall,Speed
YQPGTLBZDMNH,YQPKTL,5,0.417,1,Free Recall,Speed
GTYLZPHDQB,GTYLZHQ,7,0.7,0,Free Recall,Speed
HLZGQMKYVR,HLZGQK,6,0.6,0,Free Recall,Speed
MRYKLGVNZD,MRVKGYNZH,8,0.8,0,Free Recall,Speed
VQPRKLBGZMD,VQPRKD,6,0.545,0,Free Recall,Speed
LQBPNKDGYZ,YZLQBPNRD,8,0.8,0,Free Recall,Speed
HGLRBKQZTYDP,YDPHGLR,7,0.583,0,Free Recall,Speed
VBHQZLRDGM,VBHQZ,5,0.5,0,Free Recall,Speed
LYPZHKBRGNDQ,LYHKBZN,7,0.583,0,Free Recall,Speed
QRVNDLYGHBKT,GHBLYKRN,8,0.667,0,Free Recall,Speed
KHLBTPNVQMYG,KHLYTHBG,7,0.583,0,Free Recall,Speed
MKHDZTBNLVY,MKHZTYVN,8,0.727,0,Free Recall,Speed
MZBVLDHGTQ,MZBVLQ,6,0.6,0,Free Recall,Speed
MKRDBGVNHZQ,MKRDBZQL,7,0.636,0,Free Recall,Speed
GQRYKMLZPDTN,GQRYK,5,0.417,0,Free Recall,Speed
PMYRZTKGQB,PMYRZTQB,8,0.8,0,Free Recall,Speed
MDVHPGNZQLK,MDVHLK,6,0.545,0,Free Recall,Speed
RKGPDQVYNMT,RKGPMT,6,0.545,0,Free Recall,Speed
DMBZTLGHRQVN,DMGBZM,5,0.417,0,Free Recall,Speed
GNKYBVTRDQLM,GNKLYMKN,6,0.5,0,Free Recall,Speed
MBQGPDKRLY,MBQGLY,6,0.6,0,Free Recall,Speed
DMRHLKPYZT,DMRKYT,6,0.6,0,Free Recall,Speed
QGKVMYRPHTND,QYKT,4,0.333,0,Free Recall,Speed
GTBMDVNZQP,GTBMVP,6,0.6,0,Free Recall,Speed
VQZTHPDMGNR,VQZTPR,6,0.545,0,Free Recall,Speed
DBYKRTZQNVPM,QKYBTM,6,0.5,0,Free Recall,Speed
YLZKNPRDVH,YLZKNR,6,0.6,0,Free Recall,Speed
NVRKPGTDMB,NVRKPG,6,0.6,0,Free Recall,Speed
MTVDRQPLKZNH,MTVDRZ,6,0.5,0,Free Recall,Speed
RQVLMGTPDBY,RQVMNP,5,0.455,1,Free Recall,Speed
BZLRKMHQTGDV,BZLRKQT,7,0.583,0,Free Recall,Speed
PGYNZRKLQTM,PQYNZT,6,0.545,0,Free Recall,Speed
VGLDMHYRKZ,VGMDLYZ,7,0.7,0,Free Recall,Speed
NYLRGDKPBH,NYLRKPH,7,0.7,0,Free Recall,Speed
KNVDHTQBPYL,KNVDHTYH,7,0.636,0,Free Recall,Speed
KLPQGTZBHY,KNLQT,4,0.4,0,Free Recall,Speed
